"etternavn"	"Personer 2021"
"Fagertun"	224
"Fagervik"	275
"Fagervold"	233
"Fagerås"	249
"Falch"	972
"Falck"	505
"Falk"	285
"Falkenberg"	219
"Fallet"	303
"Fanebust"	283
"Farah"	847
"Fardal"	277
"Farestveit"	296
"Farooq"	231
"Farstad"	1585
"Fauskanger"	420
"Fauske"	726
"Fedje"	.
"Fenne"	207
"Feragen"	318
"Ferkingstad"	357
"Fernandez"	210
"Ferstad"	226
"Fevang"	547
"Fidje"	279
"Fidjeland"	241
"Figenschau"	228
"Figenschou"	274
"Fiksdal"	381
"Fimland"	204
"Fimreite"	249
"Finne"	489
"Finnerud"	256
"Finnesand"	236
"Finnøy"	218
"Finseth"	328
"Finsrud"	471
"Finstad"	1764
"Fischer"	379
"Fiske"	388
"Fiskerstrand"	357
"Fiskum"	310
"Fiskvik"	344
"Fiskå"	289
"Fjeld"	2513
"Fjeldberg"	546
"Fjelde"	602
"Fjeldheim"	567
"Fjeldstad"	1739
"Fjell"	797
"Fjellanger"	299
"Fjelldal"	438
"Fjellestad"	291
"Fjellheim"	866
"Fjellstad"	820
"Fjellvang"	305
"Fjermestad"	346
"Fjær"	208
"Fjæreide"	204
"Fjærli"	306
"Fjørtoft"	773
"Flaa"	351
"Flaaten"	207
"Flage"	214
"Flataker"	216
"Flatebø"	389
"Flaten"	933
"Flatland"	368
"Flatmo"	217
"Flatøy"	266
"Flatås"	310
"Fleischer"	304
"Flem"	411
"Flesland"	233
"Flo"	458
"Flø"	356
"Flønes"	255
"Fløtre"	273
"Fløysvik"	218
"Flåten"	490
"Foldnes"	225
"Folgerø"	341
"Folkedal"	238
"Folkestad"	632
"Folkvord"	331
"Folland"	260
"Follestad"	381
"Fonn"	264
"Fonnes"	213
"Forberg"	539
"Forbord"	343
"Forland"	302
"Formo"	349
"Fornes"	508
"Forsberg"	844
"Forseth"	354
"Forsmo"	327
"Fosen"	218
"Foss"	3124
"Fossan"	300
"Fossdal"	441
"Fosse"	2192
"Fossen"	1019
"Fosser"	205
"Fosshaug"	274
"Fossheim"	787
"Fossland"	290
"Fossli"	389
"Fossmark"	235
"Fossmo"	267
"Fossnes"	234
"Fossum"	2717
"Fotland"	507
"Frafjord"	490
"Framnes"	291
"Frank"	206
"Frantzen"	1509
"Fredheim"	1355
"Fredriksen"	6621
"Fremstad"	552
"Fretheim"	262
"Friberg"	364
"Friestad"	503
"Frigstad"	353
"Friis"	501
"Frivold"	208
"Frogner"	518
"Frost"	214
"Frostad"	473
"Frydenberg"	320
"Frydenlund"	1098
"Frøiland"	281
"Frøland"	466
"Frøseth"	302
"Frøshaug"	216
"Frøyen"	351
"Frøyland"	664
"Frøysa"	241
"Frøystad"	261
"Fuglerud"	275
"Fuglestad"	664
"Fure"	548
"Furnes"	1007
"Furre"	328
"Furset"	258
"Furseth"	280
"Furu"	540
"Furuhaug"	.
"Furuheim"	248
"Furulund"	625
"Furunes"	326
"Furuseth"	889
"Fyhn"	240
"Fykse"	211
"Fylkesnes"	322
"Fylling"	509
"Fyllingen"	202
"Følstad"	260
"Førde"	1066
"Føreland"	217
"Førland"	858
"Førre"	252
"Førsund"	224
"Gaard"	210
"Gaarder"	624
"Gabrielsen"	3075
"Gamst"	537
"Gangstad"	229
"Garberg"	455
"Garcia"	319
"Garnes"	450
"Garshol"	255
"Garvik"	350
"Gashi"	603
"Gaup"	571
"Gausdal"	301
"Gaustad"	740
"Gebremedhin"	205
"Gebremichael"	221
"Georgsen"	228
"Gerhardsen"	519
"Gilberg"	312
"Gilde"	218
"Gilje"	1031
"Gill"	456
"Gillebo"	236
"Gimre"	202
"Gimse"	212
"Giske"	775
"Giæver"	286
"Gjedrem"	229
"Gjelstad"	319
"Gjelsten"	254
"Gjelsvik"	665
"Gjendem"	330
"Gjengedal"	265
"Gjengstø"	219
"Gjerde"	3427
"Gjerdingen"	208
"Gjerdrum"	272
"Gjerløw"	.
"Gjermundsen"	211
"Gjernes"	202
"Gjerstad"	1015
"Gjersvik"	220
"Gjersøe"	254
"Gjertsen"	1640
"Gjeruldsen"	201
"Gjervik"	222
"Gjesdal"	671
"Gjessing"	304
"Gjestad"	203
"Gjestvang"	272
"Gjøen"	.
"Gjønnes"	256
"Gjøsund"	246
"Glad"	258
"Gleditsch"	225
"Glesnes"	339
"Gloppen"	219
"Goa"	396
"Godø"	538
"Goksøyr"	201
"Gonzalez"	248
"Graff"	344
"Gram"	402
"Gramstad"	409
"Gran"	1782
"Granberg"	629
"Grande"	1607
"Granerud"	403
"Granheim"	682
"Granli"	951
"Granlund"	622
"Granly"	283
"Granmo"	226
"Grannes"	237
"Granum"	666
"Granås"	435
"Grav"	278
"Gravdahl"	205
"Gravdal"	1145
"Gravem"	224
"Grebstad"	252
"Green"	653
"Gregersen"	940
"Greve"	331
"Grimnes"	214
"Grimsmo"	236
"Grimsrud"	548
"Grimstad"	1554
"Grinde"	512
"Grinden"	211
"Grindhaug"	275
"Grindheim"	951
"Grini"	452
"Grongstad"	323
"Groth"	272
"Grotle"	288
"Grov"	544
"Groven"	555
"Grude"	455
"Grue"	275
"Grytten"	519
"Grødem"	510
"Grønbech"	272
"Grønberg"	.
"Grøndahl"	610
"Grøndal"	243
"Grøndalen"	232
"Grøneng"	274
"Grønhaug"	229
"Grønli"	874
"Grønlie"	239
"Grønlien"	212
"Grønlund"	377
"Grønn"	265
"Grønnestad"	226
"Grønnevik"	328
"Grønning"	794
"Grønningsæter"	307
"Grønsberg"	200
"Grønseth"	319
"Grønstad"	336
"Grønvik"	248
"Grønvold"	1203
"Grønås"	582
"Grøstad"	306
"Grøtan"	237
"Grøterud"	226
"Grøtte"	360
"Grøtting"	344
"Gudbrandsen"	555
"Guddal"	343
"Gudmestad"	399
"Gudmundsen"	645
"Gulbrandsen"	4510
"Guldahl"	210
"Guldberg"	237
"Gullaksen"	448
"Gulli"	217
"Gulliksen"	1527
"Gundersen"	9906
"Gunnarsen"	215
"Gunnarsson"	.
"Gunnerud"	310
"Gunnerød"	245
"Gunnes"	266
"Gunnestad"	234
"Gupta"	255
"Gussiås"	215
"Gustad"	399
"Gustafsson"	535
"Gustavsen"	2900
"Gustavson"	.
"Guttorm"	263
"Guttormsen"	1319
"Gylland"	200
"Gården"	228
"Gåsland"	267
"Haagensen"	820
"Haakonsen"	396
"Haaland"	2275
"Haarberg"	300
"Haarr"	374
"Haarstad"	208
"Haave"	588
"Haavik"	527
"Habberstad"	262
"Habbestad"	333
"Habte"	279
"Haddal"	253
"Haddeland"	341
"Hadland"	500
"Hafstad"	506
"Haga"	2361
"Hagberg"	249
"Hage"	703
"Hageland"	242
"Hagelund"	367
"Hagen"	13697
"Hagenes"	355
"Hagerup"	531
"Hagland"	272
"Haglund"	470
"Hagos"	323
"Haidari"	292
"Haile"	692
"Haji"	345
"Halden"	272
"Haldorsen"	873
"Hall"	383
"Hallan"	279
"Halland"	716
"Hallberg"	203
"Halle"	590
"Halleland"	288
"Halleraker"	299
"Hallingstad"	206
"Hals"	815
"Halse"	352
"Halsen"	227
"Halseth"	428
"Halstensen"	356
"Halvorsen"	10979
"Halvorsrud"	261
"Hamborg"	204
"Hamid"	303
"Hammer"	3072
"Hammeren"	239
"Hammersland"	442
"Hammerstad"	477
"Hammervold"	364
"Hammerø"	230
"Hamnes"	336
"Hamre"	2194
"Hana"	221
"Handeland"	1055
"Hannestad"	245
"Hannisdal"	271
"Hansen"	50064
"Hanssen"	5647
"Hansson"	783
"Hanstad"	320
"Haraldseid"	325
"Haraldsen"	1410
"Haraldstad"	300
"Haram"	475
"Harbo"	200
"Hareide"	456
"Harestad"	394
"Harila"	204
"Harkestad"	210
